"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6339","verify create/import button disable for physician role","chromium","2026-08-11","passed","2026-08-11","","physicianrolelimitation.spec.ts","",""
"","6416","Verify tab visibility for techAdmin staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","11492","Verify tab visibility for Physician staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","12733","verify create Program","chromium","2026-08-11","passed","2026-08-11","","careProgramtwo.spec.ts","",""
"","6511","verify create Program is visible","chromium","2026-08-11","failed","2026-08-11","","orgadmin.spec.ts","",""
"","6198","verify import Program is not visible","chromium","2026-08-11","passed","2026-08-11","","orgadmin.spec.ts","",""
"","7282","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6701","Verify tab visibility for Marketing staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","5992","Verify tab visibility for Clinical staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6411","loginPage","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","6042","Verify tab visibility for Dietician staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","7915","verify physician role have Readonly permission","chromium","2026-08-11","passed","2026-08-11","","physicianrolelimitation.spec.ts","",""
"","6073","Verify tab visibility for Custom staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6336","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6181","Verify tab visibility for Nurse staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","9609","NavigateOnWorkqueue","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
