"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6511","Verify tab visibility for techAdmin staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6235","loginPage","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","6944","Verify tab visibility for Marketing staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","7420","verify create/import button disable for physician role","chromium","2026-08-11","passed","2026-08-11","","physicianrolelimitation.spec.ts","",""
"","9570","NavigateOnWorkqueue","chromium","2026-08-11","passed","2026-08-11","","loginpage.spec.ts","",""
"","14014","verify create Program","chromium","2026-08-11","passed","2026-08-11","","careProgramtwo.spec.ts","",""
"","6482","verify import Program is not visible","chromium","2026-08-11","passed","2026-08-11","","orgadmin.spec.ts","",""
"","6364","Verify tab visibility for Clinical staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6135","Verify tab visibility for Dietician staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6267","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6136","Verify tab visibility for Custom staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","6846","Verify tab visibility for Physician staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","8646","verify physician role have Readonly permission","chromium","2026-08-11","passed","2026-08-11","","physicianrolelimitation.spec.ts","",""
"","6931","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
"","7424","verify create Program is visible","chromium","2026-08-11","failed","2026-08-11","","orgadmin.spec.ts","",""
"","6408","Verify tab visibility for Nurse staff role","chromium","2026-08-11","passed","2026-08-11","","allstaffrolelogin.spec.ts","",""
