"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6541","Verify tab visibility for Marketing staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6279","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6180","Verify tab visibility for Nurse staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6420","verify create/import button disable for physician role","chromium","2026-08-12","passed","2026-08-12","","physicianrolelimitation.spec.ts","",""
"","8393","verify physician role have Readonly permission","chromium","2026-08-12","passed","2026-08-12","","physicianrolelimitation.spec.ts","",""
"","6251","verify import Program is not visible","chromium","2026-08-12","passed","2026-08-12","","orgadmin.spec.ts","",""
"","6257","Verify tab visibility for techAdmin staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6327","Verify tab visibility for Dietician staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6104","Verify tab visibility for Clinical staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6120","loginPage","chromium","2026-08-12","passed","2026-08-12","","loginpage.spec.ts","",""
"","6555","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6607","verify create Program is visible","chromium","2026-08-12","failed","2026-08-12","","orgadmin.spec.ts","",""
"","13208","verify create Program","chromium","2026-08-12","passed","2026-08-12","","careProgramtwo.spec.ts","",""
"","6120","Verify tab visibility for Custom staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6581","Verify tab visibility for Physician staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","9405","NavigateOnWorkqueue","chromium","2026-08-12","passed","2026-08-12","","loginpage.spec.ts","",""
