"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5215","loginPage","chromium","2026-08-12","passed","2026-08-12","","loginpage.spec.ts","",""
"","5301","Verify tab visibility for Carecoordinator staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","5438","Verify tab visibility for techAdmin staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","5781","Verify tab visibility for Physician staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","8627","NavigateOnWorkqueue","chromium","2026-08-12","passed","2026-08-12","","loginpage.spec.ts","",""
"","5544","Verify tab visibility for Marketing staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","5215","Verify tab visibility for Nurse staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","11682","verify create Program","chromium","2026-08-12","passed","2026-08-12","","careProgramtwo.spec.ts","",""
"","5634","verify create/import button disable for physician role","chromium","2026-08-12","passed","2026-08-12","","physicianrolelimitation.spec.ts","",""
"","5898","verify create Program is visible","chromium","2026-08-12","failed","2026-08-12","","orgadmin.spec.ts","",""
"","5117","Verify tab visibility for Custom staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","6662","verify physician role have Readonly permission","chromium","2026-08-12","passed","2026-08-12","","physicianrolelimitation.spec.ts","",""
"","5181","Verify tab visibility for Dietician staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","5272","Verify tab visibility for Clinical staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
"","5601","verify import Program is not visible","chromium","2026-08-12","passed","2026-08-12","","orgadmin.spec.ts","",""
"","5550","Verify tab visibility for OrgAdmin staff role","chromium","2026-08-12","passed","2026-08-12","","allstaffrolelogin.spec.ts","",""
